"","trait_genetic_start","trait_genetic_end","trait","gene_ID","eQTL_chr","eQTL_genetic_start","eQTL_genetic_end","subject","AGI","At_symbol","trait_chrom","gene.chrom","gene.start","gene.end","B.napus_GO_term","GO_des"
"1148",177,182,"leaf_number_2016_03_21","BnaA03g29440D","chrA10",181,181,"AT3G06450.1","AT3G06450"," HCO3- transporter family ","chrA10","A03",14316133,14320016,"GO:0005452;GO:0006820;GO:0016020;GO:0016021","inorganic anion exchanger activity;anion transport;membrane;integral component of membrane"
"1149",177,182,"leaf_number_2016_03_21","BnaA03g33070D","chrA10",182,182,"AT3G13860.1","AT3G13860"," heat shock protein 60-3A ","chrA10","A03",16009266,16012766,"GO:0005524;GO:0005737;GO:0006457;GO:0042026;GO:0044267","ATP binding;cytoplasm;protein folding;protein refolding;cellular protein metabolic process"
"1150",177,182,"leaf_number_2016_03_21","BnaA03g34330D","chrA10",182,182,NA,NA,NA,"chrA10","A03",16731353,16732221,"GO:0003700;GO:0008270;GO:0043565","transcription factor activity, sequence-specific DNA binding;zinc ion binding;sequence-specific DNA binding"
"1151",177,182,"leaf_number_2016_03_21","BnaA03g39900D","chrA10",182,182,"AT5G61000.1","AT5G61000"," Replication factor-A protein 1-related ","chrA10","A03",19942822,19945785,"GO:0003676;GO:0003677;GO:0005634;GO:0006260","nucleic acid binding;DNA binding;nucleus;DNA replication"
"1152",177,182,"leaf_number_2016_03_21","BnaA03g50820D","chrA10",177,177,"AT1G06550.1","AT1G06550"," ATP-dependent caseinolytic (Clp) protease/crotonase family protein ","chrA10","A03",26390875,26392764,"GO:0003824;GO:0008152","catalytic activity;metabolic process"
"1153",177,182,"leaf_number_2016_03_21","BnaA03g53940D","chrA10",180,180,"AT4G37370.1","AT4G37370"," cytochrome P450, family 81, subfamily D, polypeptide 8 ","chrA10","A03",28476088,28478294,"GO:0005506;GO:0009055;GO:0020037;GO:0055114","iron ion binding;electron carrier activity;heme binding;oxidation-reduction process"
"1154",177,182,"leaf_number_2016_03_21","BnaA04g06990D","chrA10",182,182,"AT4G13250.1","AT4G13250"," NAD(P)-binding Rossmann-fold superfamily protein ","chrA10","A04",5703746,5706602,"GO:0000166;GO:0008152;GO:0016491","nucleotide binding;metabolic process;oxidoreductase activity"
"1155",177,182,"leaf_number_2016_03_21","BnaA04g07070D","chrA10",182,182,"AT4G13110.1","AT4G13110"," BSD domain-containing protein ","chrA10","A04",5764121,5765152,NA,NA
"1156",177,182,"leaf_number_2016_03_21","BnaA04g07770D","chrA10",182,182,"AT5G36710.1","AT5G36710"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G36800.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). ","chrA10","A04",6811964,6812578,NA,NA
"1157",177,182,"leaf_number_2016_03_21","BnaA04g08570D","chrA10",177,177,"AT5G38420.1","AT5G38420"," Ribulose bisphosphate carboxylase (small chain) family protein ","chrA10","A04",7592505,7593772,NA,NA
"1158",177,182,"leaf_number_2016_03_21","BnaA04g11490D","chrA10",177,177,"AT5G38970.1","AT5G38970"," brassinosteroid-6-oxidase 1 ","chrA10","A04",9939474,9942138,"GO:0004497;GO:0005506;GO:0009055;GO:0020037;GO:0055114","monooxygenase activity;iron ion binding;electron carrier activity;heme binding;oxidation-reduction process"
"1159",177,182,"leaf_number_2016_03_21","BnaA04g23290D","chrA10",177,177,"AT2G40480.1","AT2G40480"," Plant protein of unknown function (DUF827) ","chrA10","A04",17359830,17362058,NA,NA
"1160",177,182,"leaf_number_2016_03_21","BnaA04g28540D","chrA10",177,177,"AT2G29550.1","AT2G29550"," tubulin beta-7 chain ","chrA10","A04_random",864950,867028,"GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0006184;GO:0007017;GO:0043234;GO:0051258","GTPase activity;structural constituent of cytoskeleton;GTP binding;microtubule;NA;microtubule-based process;protein complex;protein polymerization"
"1161",177,182,"leaf_number_2016_03_21","BnaA05g03090D","chrA10",180,180,"AT2G42750.1","AT2G42750"," DNAJ heat shock N-terminal domain-containing protein ","chrA10","A05",1678812,1680200,"GO:0005506;GO:0009055;GO:0051536","iron ion binding;electron carrier activity;iron-sulfur cluster binding"
"1162",177,182,"leaf_number_2016_03_21","BnaA05g05540D","chrA10",177,177,"AT2G40100.1","AT2G40100"," light harvesting complex photosystem II ","chrA10","A05",2900837,2902424,"GO:0016020","membrane"
"1163",177,182,"leaf_number_2016_03_21","BnaA05g12420D","chrA10",179,179,"AT2G29620.1","AT2G29620"," unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G07330.1); Has 887 Blast hits to 750 proteins in 151 species: Archae - 2; Bacteria - 63; Metazoa - 270; Fungi - 51; Plants - 111; Viruses - 6; Other Eukaryotes - 384 (source: NCBI BLink). ","chrA10","A05",7207926,7210809,NA,NA
"1164",177,182,"leaf_number_2016_03_21","BnaA05g18830D","chrA10",180,180,"AT3G20250.1","AT3G20250"," pumilio 5 ","chrA10","A05",14266336,14270506,"GO:0003723;GO:0005488","RNA binding;binding"
"1165",177,182,"leaf_number_2016_03_21","BnaA05g19350D","chrA10",182,182,"AT3G19820.1","AT3G19820"," cell elongation protein / DWARF1 / DIMINUTO (DIM) ","chrA10","A05",14594589,14597133,"GO:0003824;GO:0008762;GO:0016491;GO:0050660;GO:0055114","catalytic activity;UDP-N-acetylmuramate dehydrogenase activity;oxidoreductase activity;flavin adenine dinucleotide binding;oxidation-reduction process"
"1166",177,182,"leaf_number_2016_03_21","BnaA06g02990D","chrA10",180,180,"AT3G14650.1","AT3G14650"," cytochrome P450, family 72, subfamily A, polypeptide 11 ","chrA10","A06",1812625,1814964,"GO:0005506;GO:0009055;GO:0020037;GO:0055114","iron ion binding;electron carrier activity;heme binding;oxidation-reduction process"
"1167",177,182,"leaf_number_2016_03_21","BnaA06g16160D","chrA10",177,177,"AT3G49120.1","AT3G49120"," peroxidase CB ","chrA10","A06",8983804,8989809,"GO:0004601;GO:0006979;GO:0020037;GO:0055114","peroxidase activity;response to oxidative stress;heme binding;oxidation-reduction process"
"1168",177,182,"leaf_number_2016_03_21","BnaA06g17760D","chrA10",182,182,"AT3G46940.1","AT3G46940"," DUTP-PYROPHOSPHATASE-LIKE 1 ","chrA10","A06",10119762,10120459,"GO:0004170;GO:0016787;GO:0046080","dUTP diphosphatase activity;hydrolase activity;dUTP metabolic process"
"1169",177,182,"leaf_number_2016_03_21","BnaA06g38350D","chrA10",182,182,"AT1G16520.1","AT1G16520"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G56080.1); Has 243 Blast hits to 234 proteins in 69 species: Archae - 2; Bacteria - 2; Metazoa - 61; Fungi - 9; Plants - 125; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink). ","chrA10","A06_random",500529,502090,NA,NA
"1170",177,182,"leaf_number_2016_03_21","BnaA07g10570D","chrA10",179,179,"AT1G22280.3","AT1G22280"," phytochrome-associated protein phosphatase type 2C ","chrA10","A07",10008005,10009642,"GO:0003824","catalytic activity"
"1171",177,182,"leaf_number_2016_03_21","BnaA07g23870D","chrA10",177,177,"AT1G70280.2","AT1G70280"," NHL domain-containing protein ","chrA10","A07",17863767,17866357,"GO:0005515","protein binding"
"1172",177,182,"leaf_number_2016_03_21","BnaA07g27450D","chrA10",177,177,"AT1G68820.1","AT1G68820"," Transmembrane Fragile-X-F-associated protein ","chrA10","A07",19978110,19981226,"GO:0005515;GO:0008270","protein binding;zinc ion binding"
"1173",177,182,"leaf_number_2016_03_21","BnaA07g28450D","chrA10",180,180,NA,NA,NA,"chrA10","A07",20545450,20546583,"GO:0005515","protein binding"
"1174",177,182,"leaf_number_2016_03_21","BnaA07g33220D","chrA10",180,180,"AT1G76980.1","AT1G76980"," BEST Arabidopsis thaliana protein match is: embryo defective 2170 (TAIR:AT1G21390.1); Has 65 Blast hits to 65 proteins in 23 species: Archae - 0; Bacteria - 8; Metazoa - 1; Fungi - 8; Plants - 40; Viruses - 3; Other Eukaryotes - 5 (source: NCBI BLink). ","chrA10","A07",22840766,22842022,NA,NA
"1175",177,182,"leaf_number_2016_03_21","BnaA07g34290D","chrA10",182,182,"AT1G78650.1","AT1G78650"," DNA-directed DNA polymerases ","chrA10","A07",23367572,23370148,"GO:0005634;GO:0006260","nucleus;DNA replication"
"1176",177,182,"leaf_number_2016_03_21","BnaA07g37580D","chrA10",177,177,"AT3G53720.1","AT3G53720"," cation/H+ exchanger 20 ","chrA10","A07_random",1197473,1198816,NA,NA
"1177",177,182,"leaf_number_2016_03_21","BnaA08g00170D","chrA10",177,177,NA,NA,NA,"chrA10","A08",151315,153189,NA,NA
"1178",177,182,"leaf_number_2016_03_21","BnaA08g03550D","chrA10",177,177,NA,NA,NA,"chrA10","A08",2877742,2877992,NA,NA
"1179",177,182,"leaf_number_2016_03_21","BnaA08g10180D","chrA10",177,177,NA,NA,NA,"chrA10","A08",9516197,9517906,"GO:0000166;GO:0008152;GO:0016491","nucleotide binding;metabolic process;oxidoreductase activity"
"1180",177,182,"leaf_number_2016_03_21","BnaA08g16560D","chrA10",177,177,"AT2G21790.1","AT2G21790"," ribonucleotide reductase 1 ","chrA10","A08",13460748,13465027,"GO:0005524;GO:0005971;GO:0006260;GO:0055114","ATP binding;ribonucleoside-diphosphate reductase complex;DNA replication;oxidation-reduction process"
"1181",177,182,"leaf_number_2016_03_21","BnaA08g21940D","chrA10",177,177,"AT1G19770.1","AT1G19770"," purine permease 14 ","chrA10","A08",16103262,16104999,NA,NA
"1182",177,182,"leaf_number_2016_03_21","BnaA08g27580D","chrA10",177,177,"AT1G03820.1","AT1G03820"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 1345 Blast hits to 1122 proteins in 102 species: Archae - 2; Bacteria - 28; Metazoa - 28; Fungi - 30; Plants - 109; Viruses - 0; Other Eukaryotes - 1148 (source: NCBI BLink). ","chrA10","A08",18339343,18340008,NA,NA
"1183",177,182,"leaf_number_2016_03_21","BnaA08g28070D","chrA10",180,180,"AT1G04830.2","AT1G04830"," Ypt/Rab-GAP domain of gyp1p superfamily protein ","chrA10","A08",18525389,18531594,"GO:0005097;GO:0005515;GO:0005622;GO:0032313","NA;protein binding;intracellular;NA"
"1184",177,182,"leaf_number_2016_03_21","BnaA09g05560D","chrA10",182,182,"AT5G61000.1","AT5G61000"," Replication factor-A protein 1-related ","chrA10","A09",2740256,2743276,"GO:0003676;GO:0003677;GO:0005634;GO:0006260","nucleic acid binding;DNA binding;nucleus;DNA replication"
"1185",177,182,"leaf_number_2016_03_21","BnaA09g08530D","chrA10",177,177,"AT2G15620.1","AT2G15620"," nitrite reductase 1 ","chrA10","A09",4262964,4265153,"GO:0016491;GO:0020037;GO:0051536;GO:0055114","oxidoreductase activity;heme binding;iron-sulfur cluster binding;oxidation-reduction process"
"1186",177,182,"leaf_number_2016_03_21","BnaA09g13870D","chrA10",177,177,"AT1G61120.1","AT1G61120"," terpene synthase 04 ","chrA10","A09",7886699,7894111,"GO:0000287;GO:0008152;GO:0010333;GO:0016829","magnesium ion binding;metabolic process;terpene synthase activity;lyase activity"
"1187",177,182,"leaf_number_2016_03_21","BnaA09g23550D","chrA10",177,177,"AT1G33700.1","AT1G33700"," Beta-glucosidase, GBA2 type family protein ","chrA10","A09",16195992,16201233,"GO:0003824;GO:0004348;GO:0006665;GO:0006680;GO:0016020;GO:0016021","catalytic activity;glucosylceramidase activity;sphingolipid metabolic process;glucosylceramide catabolic process;membrane;integral component of membrane"
"1188",177,182,"leaf_number_2016_03_21","BnaA09g29760D","chrA10",177,177,"AT1G24130.1","AT1G24130"," Transducin/WD40 repeat-like superfamily protein ","chrA10","A09",22250958,22252187,"GO:0005515","protein binding"
"1189",177,182,"leaf_number_2016_03_21","BnaA09g31670D","chrA10",182,182,"AT3G51010.1","AT3G51010"," unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 24 Blast hits to 24 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 24; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). ","chrA10","A09",23604665,23606249,NA,NA
"1190",177,182,"leaf_number_2016_03_21","BnaA09g45520D","chrA10",177,177,"AT1G14710.1","AT1G14710"," hydroxyproline-rich glycoprotein family protein ","chrA10","A09",31074031,31076367,NA,NA
"1191",177,182,"leaf_number_2016_03_21","BnaA09g57210D","chrA10",180,180,"AT1G09970.2","AT1G09970"," Leucine-rich receptor-like protein kinase family protein ","chrA10","A09_random",4083048,4086424,"GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0006468","protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;protein binding;ATP binding;protein phosphorylation"
"1192",177,182,"leaf_number_2016_03_21","BnaA10g30510D","chrA10",181,181,"AT5G06240.1","AT5G06240"," embryo defective 2735 ","chrA10","A10_random",2237215,2238212,NA,NA
"1193",177,182,"leaf_number_2016_03_21","BnaAnng00240D","chrA10",182,182,"AT5G01370.1","AT5G01370"," ALC-interacting protein 1 ","chrA10","Ann_random",200216,202176,NA,NA
"1194",177,182,"leaf_number_2016_03_21","BnaAnng04290D","chrA10",177,177,"AT1G60950.1","AT1G60950"," 2Fe-2S ferredoxin-like superfamily protein ","chrA10","Ann_random",4399020,4399710,"GO:0009055;GO:0022900;GO:0051536","electron carrier activity;electron transport chain;iron-sulfur cluster binding"
"1195",177,182,"leaf_number_2016_03_21","BnaAnng39850D","chrA10",177,177,NA,NA,NA,"chrA10","Ann_random",45388005,45388948,"GO:0000166","nucleotide binding"
"1196",177,182,"leaf_number_2016_03_21","BnaAnng40840D","chrA10",178,178,"AT2G34355.1","AT2G34355"," Major facilitator superfamily protein ","chrA10","Ann_random",46863468,46865565,NA,NA
"1197",177,182,"leaf_number_2016_03_21","BnaC01g00550D","chrA10",182,182,"AT4G39660.1","AT4G39660"," alanine:glyoxylate aminotransferase 2 ","chrA10","C01",199199,201896,"GO:0003824;GO:0008483;GO:0030170","catalytic activity;transaminase activity;pyridoxal phosphate binding"
"1198",177,182,"leaf_number_2016_03_21","BnaC01g04250D","chrA10",179,179,"AT4G34131.1","AT4G34131"," UDP-glucosyl transferase 73B3 ","chrA10","C01",2230184,2231635,"GO:0008152","metabolic process"
"1199",177,182,"leaf_number_2016_03_21","BnaC01g25960D","chrA10",180,180,"AT3G49200.1","AT3G49200"," O-acyltransferase (WSD1-like) family protein ","chrA10","C01",22311480,22314803,"GO:0004144;GO:0045017","diacylglycerol O-acyltransferase activity;glycerolipid biosynthetic process"
"1200",177,182,"leaf_number_2016_03_21","BnaC01g27800D","chrA10",180,180,"AT1G58210.1","AT1G58210"," kinase interacting family protein ","chrA10","C01",25431774,25432824,NA,NA
"1201",177,182,"leaf_number_2016_03_21","BnaC02g15030D","chrA10",177,177,"AT5G52540.1","AT5G52540"," Protein of unknown function (DUF819) ","chrA10","C02",10526686,10528810,NA,NA
"1202",177,182,"leaf_number_2016_03_21","BnaC02g16510D","chrA10",177,177,"AT1G65290.1","AT1G65290"," mitochondrial acyl carrier protein 2 ","chrA10","C02",12014553,12015596,"GO:0006633","fatty acid biosynthetic process"
"1203",177,182,"leaf_number_2016_03_21","BnaC02g25040D","chrA10",179,179,NA,NA,NA,"chrA10","C02",22412130,22413054,NA,NA
"1204",177,182,"leaf_number_2016_03_21","BnaC02g27270D","chrA10",180,180,NA,NA,NA,"chrA10","C02",25170587,25171828,"GO:0005515","protein binding"
"1205",177,182,"leaf_number_2016_03_21","BnaC02g30550D","chrA10",177,177,NA,NA,NA,"chrA10","C02",32355627,32356715,"GO:0005507;GO:0009055","copper ion binding;electron carrier activity"
"1206",177,182,"leaf_number_2016_03_21","BnaC03g03360D","chrA10",181,181,NA,NA,NA,"chrA10","C03",1613621,1614067,NA,NA
"1207",177,182,"leaf_number_2016_03_21","BnaC03g15070D","chrA10",182,182,"AT5G53350.1","AT5G53350"," CLP protease regulatory subunit X ","chrA10","C03",7467871,7470195,"GO:0005524;GO:0006457;GO:0051082","ATP binding;protein folding;unfolded protein binding"
"1208",177,182,"leaf_number_2016_03_21","BnaC03g17300D","chrA10",179,179,"AT2G31130.1","AT2G31130"," unknown protein; Has 116 Blast hits to 113 proteins in 44 species: Archae - 0; Bacteria - 3; Metazoa - 21; Fungi - 2; Plants - 40; Viruses - 0; Other Eukaryotes - 50 (source: NCBI BLink). ","chrA10","C03",8833075,8835199,NA,NA
"1209",177,182,"leaf_number_2016_03_21","BnaC03g18410D","chrA10",180,180,"AT2G32830.1","AT2G32830"," phosphate transporter 1;5 ","chrA10","C03",9446975,9450304,"GO:0005315;GO:0006817;GO:0016021;GO:0022857;GO:0055085","inorganic phosphate transmembrane transporter activity;phosphate ion transport;integral component of membrane;transmembrane transporter activity;transmembrane transport"
"1210",177,182,"leaf_number_2016_03_21","BnaC03g23530D","chrA10",179,179,"AT2G41900.1","AT2G41900"," CCCH-type zinc finger protein with ARM repeat domain ","chrA10","C03",13114612,13117269,"GO:0003676;GO:0005515;GO:0008270","nucleic acid binding;protein binding;zinc ion binding"
"1211",177,182,"leaf_number_2016_03_21","BnaC03g32290D","chrA10",177,177,"AT3G01790.1","AT3G01790"," Ribosomal protein L13 family protein ","chrA10","C03",19869285,19871026,"GO:0003735;GO:0005840;GO:0006412","structural constituent of ribosome;ribosome;translation"
"1212",177,182,"leaf_number_2016_03_21","BnaC03g49060D","chrA10",177,177,NA,NA,NA,"chrA10","C03",33918892,33920067,"GO:0003735;GO:0005622;GO:0005840;GO:0006412","structural constituent of ribosome;intracellular;ribosome;translation"
"1213",177,182,"leaf_number_2016_03_21","BnaC03g49940D","chrA10",180,180,"AT5G64250.2","AT5G64250"," Aldolase-type TIM barrel family protein ","chrA10","C03",34750951,34753041,"GO:0003824;GO:0018580;GO:0055114","catalytic activity;nitronate monooxygenase activity;oxidation-reduction process"
"1214",177,182,"leaf_number_2016_03_21","BnaC03g56370D","chrA10",177,177,NA,NA,NA,"chrA10","C03",45686490,45687102,NA,NA
"1215",177,182,"leaf_number_2016_03_21","BnaC03g59670D","chrA10",177,177,"AT1G30380.1","AT1G30380"," photosystem I subunit K ","chrA10","C03",48943591,48944725,"GO:0009522;GO:0015979;GO:0016020;GO:0016168","photosystem I;photosynthesis;membrane;chlorophyll binding"
"1216",177,182,"leaf_number_2016_03_21","BnaC03g70990D","chrA10",177,177,"AT1G56010.2","AT1G56010"," NAC domain containing protein 1 ","chrA10","C03",60476145,60481228,"GO:0003677","DNA binding"
"1217",177,182,"leaf_number_2016_03_21","BnaC03g72030D","chrA10",182,182,NA,NA,NA,"chrA10","C03_random",485900,486124,NA,NA
"1218",177,182,"leaf_number_2016_03_21","BnaC03g73200D","chrA10",180,180,"AT4G02380.1","AT4G02380"," senescence-associated gene 21 ","chrA10","C03_random",1368770,1369504,"GO:0006950","response to stress"
"1219",177,182,"leaf_number_2016_03_21","BnaC03g74680D","chrA10",182,182,"AT5G63550.2","AT5G63550"," DEK domain-containing chromatin associated protein ","chrA10","C03_random",2671253,2674224,"GO:0003677","DNA binding"
"1220",177,182,"leaf_number_2016_03_21","BnaC03g75340D","chrA10",177,177,"AT3G26060.2","AT3G26060"," Thioredoxin superfamily protein ","chrA10","C03_random",4013336,4014982,"GO:0016209;GO:0016491;GO:0055114","antioxidant activity;oxidoreductase activity;oxidation-reduction process"
"1221",177,182,"leaf_number_2016_03_21","BnaC03g75640D","chrA10",180,180,"AT1G68140.1","AT1G68140"," Protein of unknown function (DUF1644) ","chrA10","C03_random",4360338,4362335,NA,NA
"1222",177,182,"leaf_number_2016_03_21","BnaC04g05260D","chrA10",177,177,"AT2G40100.1","AT2G40100"," light harvesting complex photosystem II ","chrA10","C04",3728888,3731176,"GO:0016020","membrane"
"1223",177,182,"leaf_number_2016_03_21","BnaC04g14160D","chrA10",177,177,"AT2G29340.1","AT2G29340"," NAD-dependent epimerase/dehydratase family protein ","chrA10","C04",11543119,11544750,"GO:0000166;GO:0008152;GO:0016491","nucleotide binding;metabolic process;oxidoreductase activity"
"1224",177,182,"leaf_number_2016_03_21","BnaC04g14710D","chrA10",182,182,"AT5G27395.1","AT5G27395"," Mitochondrial inner membrane translocase complex, subunit Tim44-related protein ","chrA10","C04",12163371,12164202,NA,NA
"1225",177,182,"leaf_number_2016_03_21","BnaC04g28230D","chrA10",182,182,"AT3G52390.2","AT3G52390"," TatD related DNase ","chrA10","C04",29683775,29687423,NA,NA
"1226",177,182,"leaf_number_2016_03_21","BnaC04g29160D","chrA10",182,182,"AT4G14000.1","AT4G14000"," Putative methyltransferase family protein ","chrA10","C04",30491331,30493143,NA,NA
"1227",177,182,"leaf_number_2016_03_21","BnaC04g29670D","chrA10",177,177,"AT5G35630.1","AT5G35630"," glutamine synthetase 2 ","chrA10","C04",31248390,31251689,"GO:0003824;GO:0004356;GO:0006542;GO:0006807","catalytic activity;glutamate-ammonia ligase activity;glutamine biosynthetic process;nitrogen compound metabolic process"
"1228",177,182,"leaf_number_2016_03_21","BnaC04g32810D","chrA10",180,180,"AT5G40690.1","AT5G40690"," CONTAINS InterPro DOMAIN/s: EF-Hand 1, calcium-binding site (InterPro:IPR018247); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G41730.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). ","chrA10","C04",34535102,34535971,NA,NA
"1229",177,182,"leaf_number_2016_03_21","BnaC04g33430D","chrA10",177,177,"AT2G21540.1","AT2G21540"," SEC14-like 3 ","chrA10","C04",35061283,35064864,"GO:0005215;GO:0005622;GO:0006810","transporter activity;intracellular;transport"
"1230",177,182,"leaf_number_2016_03_21","BnaC04g35060D","chrA10",182,182,"AT2G22540.1","AT2G22540"," K-box region and MADS-box transcription factor family protein  ","chrA10","C04",36478652,36481951,"GO:0003677;GO:0003700;GO:0005634;GO:0046983","DNA binding;transcription factor activity, sequence-specific DNA binding;nucleus;protein dimerization activity"
"1231",177,182,"leaf_number_2016_03_21","BnaC04g39030D","chrA10",182,182,"AT3G57020.1","AT3G57020"," Calcium-dependent phosphotriesterase superfamily protein ","chrA10","C04",40104820,40106971,"GO:0009058;GO:0016844","biosynthetic process;strictosidine synthase activity"
"1232",177,182,"leaf_number_2016_03_21","BnaC04g41120D","chrA10",178,178,"AT2G30490.1","AT2G30490"," cinnamate-4-hydroxylase ","chrA10","C04",41906136,41908681,"GO:0005506;GO:0009055;GO:0020037;GO:0055114","iron ion binding;electron carrier activity;heme binding;oxidation-reduction process"
"1233",177,182,"leaf_number_2016_03_21","BnaC04g47640D","chrA10",180,180,"AT2G41380.1","AT2G41380"," S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ","chrA10","C04",46630652,46631896,"GO:0008152;GO:0008168","metabolic process;methyltransferase activity"
"1234",177,182,"leaf_number_2016_03_21","BnaC04g50970D","chrA10",180,180,"AT2G46680.1","AT2G46680"," homeobox 7 ","chrA10","C04",48365181,48366411,"GO:0003677;GO:0003700;GO:0005634;GO:0043565","DNA binding;transcription factor activity, sequence-specific DNA binding;nucleus;sequence-specific DNA binding"
"1235",177,182,"leaf_number_2016_03_21","BnaC04g55720D","chrA10",177,177,"AT4G13670.1","AT4G13670"," plastid transcriptionally active 5 ","chrA10","C04_random",3381249,3383732,"GO:0031072;GO:0051082","heat shock protein binding;unfolded protein binding"
"1236",177,182,"leaf_number_2016_03_21","BnaC05g14260D","chrA10",180,180,"AT1G18580.1","AT1G18580"," galacturonosyltransferase 11 ","chrA10","C05",8297431,8301214,NA,NA
"1237",177,182,"leaf_number_2016_03_21","BnaC05g15870D","chrA10",177,177,"AT1G20560.1","AT1G20560"," acyl activating enzyme 1 ","chrA10","C05",9663726,9665733,"GO:0003824;GO:0008152","catalytic activity;metabolic process"
"1238",177,182,"leaf_number_2016_03_21","BnaC05g31840D","chrA10",180,180,"AT3G20250.1","AT3G20250"," pumilio 5 ","chrA10","C05",31219347,31223585,"GO:0003723;GO:0005488","RNA binding;binding"
"1239",177,182,"leaf_number_2016_03_21","BnaC05g32840D","chrA10",182,182,"AT3G19820.1","AT3G19820"," cell elongation protein / DWARF1 / DIMINUTO (DIM) ","chrA10","C05",32337373,32339932,"GO:0003824;GO:0008762;GO:0016491;GO:0050660;GO:0055114","catalytic activity;UDP-N-acetylmuramate dehydrogenase activity;oxidoreductase activity;flavin adenine dinucleotide binding;oxidation-reduction process"
"1240",177,182,"leaf_number_2016_03_21","BnaC06g25110D","chrA10",177,177,"AT1G69890.1","AT1G69890"," Protein of unknown function (DUF569) ","chrA10","C06",26652389,26653675,NA,NA
"1241",177,182,"leaf_number_2016_03_21","BnaC06g25390D","chrA10",177,177,"AT1G69310.1","AT1G69310"," WRKY DNA-binding protein 57 ","chrA10","C06",27030319,27032321,"GO:0003700;GO:0043565","transcription factor activity, sequence-specific DNA binding;sequence-specific DNA binding"
"1242",177,182,"leaf_number_2016_03_21","BnaC06g29980D","chrA10",182,182,"AT1G69120.1","AT1G69120"," K-box region and MADS-box transcription factor family protein  ","chrA10","C06",30792050,30795879,"GO:0003677;GO:0003700;GO:0005634;GO:0046983","DNA binding;transcription factor activity, sequence-specific DNA binding;nucleus;protein dimerization activity"
"1243",177,182,"leaf_number_2016_03_21","BnaC06g37560D","chrA10",182,182,"AT1G76740.1","AT1G76740"," unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G76840.1); Has 3683 Blast hits to 2942 proteins in 407 species: Archae - 9; Bacteria - 440; Metazoa - 1472; Fungi - 269; Plants - 192; Viruses - 8; Other Eukaryotes - 1293 (source: NCBI BLink). ","chrA10","C06",35525137,35532501,NA,NA
"1244",177,182,"leaf_number_2016_03_21","BnaC07g07910D","chrA10",180,180,"AT3G23600.1","AT3G23600"," alpha/beta-Hydrolases superfamily protein ","chrA10","C07",12760795,12764056,"GO:0016787","hydrolase activity"
"1245",177,182,"leaf_number_2016_03_21","BnaC07g08660D","chrA10",177,177,"AT1G30960.1","AT1G30960"," GTP-binding family protein ","chrA10","C07",13673030,13675005,"GO:0003723;GO:0005525;GO:0005622","RNA binding;GTP binding;intracellular"
"1246",177,182,"leaf_number_2016_03_21","BnaC07g11320D","chrA10",180,180,NA,NA,NA,"chrA10","C07",16995435,16996629,NA,NA
"1247",177,182,"leaf_number_2016_03_21","BnaC07g15720D","chrA10",182,182,"AT2G48020.2","AT2G48020"," Major facilitator superfamily protein ","chrA10","C07",21682690,21685915,"GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0022857;GO:0022891;GO:0055085","transporter activity;transport;membrane;integral component of membrane;transmembrane transporter activity;substrate-specific transmembrane transporter activity;transmembrane transport"
